Zeile;Time;Concentration;Mean 10s;TimeMean
79;19.08.2019 12:30;11.438;223.187;19.08.2019 12:46:37
80;19.08.2019 12:30;5.1903;226.997;19.08.2019 12:46:47
81;19.08.2019 12:30;7.279;233.207;19.08.2019 12:46:57
82;19.08.2019 12:30;13.495;239.854;19.08.2019 12:47:07
83;19.08.2019 12:30;9.3426;175.338;19.08.2019 12:47:17
84;19.08.2019 12:30;2.0761;25.9747;19.08.2019 12:47:27
85;19.08.2019 12:30;9.3426;14.80264;19.08.2019 12:47:37
86;19.08.2019 12:30;9.3426;12.42325;19.08.2019 12:47:47
87;19.08.2019 12:30;10.381;12.94237;19.08.2019 12:47:57
88;19.08.2019 12:30;7.2664;12.82295;19.08.2019 12:48:07
89;19.08.2019 12:30;7.2664;11.48958;19.08.2019 12:48:17
90;19.08.2019 12:30;11.419;12.62729;19.08.2019 12:48:27
91;19.08.2019 12:30;12.435;12.84753;19.08.2019 12:48:37
92;19.08.2019 12:30;7.2664;12.64236;19.08.2019 12:48:47
93;19.08.2019 12:31;9.3264;13.47166;19.08.2019 12:48:57
94;19.08.2019 12:31;8.2902;12.95644;19.08.2019 12:49:07
95;19.08.2019 12:31;9.3264;12.94409;19.08.2019 12:49:17
96;19.08.2019 12:31;10.363;13.67902;19.08.2019 12:49:27
97;19.08.2019 12:31;10.363;15.11223;19.08.2019 12:49:37
98;19.08.2019 12:31;9.3264;11.08654;19.08.2019 12:49:47
99;19.08.2019 12:31;13.472;13.05473;19.08.2019 12:49:57
100;19.08.2019 12:31;10.381;13.55679;19.08.2019 12:50:07
101;19.08.2019 12:31;5.1903;13.9775;19.08.2019 12:50:17
102;19.08.2019 12:31;9.3426;13.86944;19.08.2019 12:50:27
103;19.08.2019 12:31;5.1903;12.21996;19.08.2019 12:50:37
104;19.08.2019 12:31;9.3426;14.27501;19.08.2019 12:50:47
105;19.08.2019 12:31;11.419;13.66725;19.08.2019 12:50:57
106;19.08.2019 12:31;4.1522;14.90434;19.08.2019 12:51:07
107;19.08.2019 12:31;11.419;13.76615;19.08.2019 12:51:17
108;19.08.2019 12:31;10.381;11.89788;19.08.2019 12:51:27
109;19.08.2019 12:31;11.438;14.17516;19.08.2019 12:51:37
110;19.08.2019 12:31;12.457;13.7752;19.08.2019 12:51:47
111;19.08.2019 12:31;9.3426;14.589;19.08.2019 12:51:57
112;19.08.2019 12:31;11.419;290.65706;19.08.2019 12:52:07
113;19.08.2019 12:31;8.3045;6894.17;19.08.2019 12:52:17
114;19.08.2019 12:31;4.1522;2580.918;19.08.2019 12:52:27
115;19.08.2019 12:31;7.2664;373.678;19.08.2019 12:52:37
116;19.08.2019 12:31;12.457;200.278;19.08.2019 12:52:47
117;19.08.2019 12:31;11.419;229.845;19.08.2019 12:52:57
118;19.08.2019 12:31;7.2664;239.359;19.08.2019 12:53:07
119;19.08.2019 12:31;7.2664;233.347;19.08.2019 12:53:17
120;19.08.2019 12:31;13.495;227.407;19.08.2019 12:53:27
121;19.08.2019 12:31;13.495;222.19;19.08.2019 12:53:37
122;19.08.2019 12:31;9.3426;222.876;19.08.2019 12:53:47
123;19.08.2019 12:31;8.3045;222.023;19.08.2019 12:53:57
124;19.08.2019 12:31;6.2284;221.795;19.08.2019 12:54:07
125;19.08.2019 12:31;5.1813;216.661;19.08.2019 12:54:17
126;19.08.2019 12:31;6.2284;214.11;19.08.2019 12:54:27
127;19.08.2019 12:31;8.2902;215.897;19.08.2019 12:54:37
128;19.08.2019 12:31;11.399;219.621;19.08.2019 12:54:47
129;19.08.2019 12:31;7.2539;210.15;19.08.2019 12:54:57
130;19.08.2019 12:31;7.2539;211.862;19.08.2019 12:55:07
131;19.08.2019 12:31;5.1813;208.248;19.08.2019 12:55:17
132;19.08.2019 12:31;9.3264;213.269;19.08.2019 12:55:27
133;19.08.2019 12:31;7.2664;198.756;19.08.2019 12:55:37
134;19.08.2019 12:31;7.2664;206.114;19.08.2019 12:55:47
135;19.08.2019 12:31;6.2284;198.14;19.08.2019 12:55:57
136;19.08.2019 12:31;9.3264;201.103;19.08.2019 12:56:07
137;19.08.2019 12:31;9.3264;196.861;19.08.2019 12:56:17
138;19.08.2019 12:31;7.2539;201.413;19.08.2019 12:56:27
139;19.08.2019 12:31;6.2176;206.998;19.08.2019 12:56:37
140;19.08.2019 12:31;7.2539;191.793;19.08.2019 12:56:47
