DiamMidpt
14.0746
14.5902
15.1247
15.6788
16.2531
16.8485
17.4658
18.1056
18.7688
19.4564
20.1691
20.908
21.6739
22.4679
23.291
24.1442
25.0287
25.9455
26.896
27.8813
28.9026
29.9614
31.059
32.1968
33.3762
34.5989
35.8664
37.1803
38.5423
39.9542
41.4178
42.9351
44.5079
46.1384
47.8286
49.5807
51.397
53.2798
55.2316
57.2549
59.3523
61.5265
63.7804
66.1169
68.539
71.0497
73.6525
76.3506
79.1476
82.047
85.0526
88.1683
91.3982
94.7464
98.2172
101.815
105.545
109.411
113.419
117.574
121.881
126.346
130.975
135.773
140.746
145.902
151.247
156.788
162.531
168.485
174.658
181.056
187.688
194.564
201.691
209.08
216.739
224.679
232.91
241.442
250.287
259.455
268.96
278.813
289.026
299.614
310.59
321.968
333.762
345.989
358.664
371.803
385.423
399.542
414.178
429.351
445.079
461.384
478.286
495.807
513.97
532.798
552.316
572.549
593.523
615.265
637.804
661.169
685.39
