Counts[][0],Counts[][1],Counts[][2],Counts[][3],Counts[][4],Counts[][5],Counts[][6],Counts[][7],Counts[][8],Counts[][9],Counts[][10],Counts[][11],Counts[][12],Counts[][13],Counts[][14],Counts[][15],Counts[][16],Counts[][17],Counts[][18],Counts[][19],Counts[][20],Counts[][21],Counts[][22],Counts[][23],Counts[][24],Counts[][25],Counts[][26],Counts[][27],Counts[][28],Counts[][29],Counts[][30],Counts[][31],Counts[][32],Counts[][33],Counts[][34],Counts[][35],Counts[][36],Counts[][37],Counts[][38],Counts[][39],Counts[][40],Counts[][41],Counts[][42],Counts[][43],Counts[][44],Counts[][45],Counts[][46],Counts[][47],Counts[][48],Counts[][49],Counts[][50],Counts[][51],Counts[][52],Counts[][53],Counts[][54],Counts[][55],Counts[][56],Counts[][57],Counts[][58],Counts[][59],Counts[][60],Counts[][61],Counts[][62],Counts[][63],Counts[][64],Counts[][65],Counts[][66],Counts[][67],Counts[][68],Counts[][69],Counts[][70],Counts[][71],Counts[][72],Counts[][73],Counts[][74],Counts[][75],Counts[][76],Counts[][77],Counts[][78],Counts[][79],Counts[][80],Counts[][81],Counts[][82],Counts[][83],Counts[][84],Counts[][85],Counts[][86],Counts[][87],Counts[][88],Counts[][89],Counts[][90],Counts[][91],Counts[][92],Counts[][93],Counts[][94],Counts[][95],Counts[][96],Counts[][97],Counts[][98],Counts[][99],Counts[][100],Counts[][101],Counts[][102],Counts[][103],Counts[][104],Counts[][105],Counts[][106],Counts[][107],Counts[][108]
1951.67,1675.54,2542.66,1563.67,1845.25,2440.11,1261.72,2127.98,2570.62,1880.27,1787.96,2143.59,2158.66,1582.47,1037.24,1126.11,1029.5,995.277,575.081,1388.15,1300.41,1037.91,1345.47,610.651,1152.98,1419.74,1324.51,1388.94,1491.99,1193.64,1079.98,1464.13,1362.88,1099.12,750.507,1217.07,750.215,580.9,355.67,950.033,469.351,596.05,619.851,526.835,323.603,468.976,224.739,205.809,280.046,174.299,98.8788,268.125,299.322,226.193,57.2741,185.995,41.6706,26.8791,185.121,125.216,72.8912,134.281,170.945,68.6164,122.144,98.4212,38.9651,88.0131,305.458,64.0102,145.326,49.0576,-17.6059,158.827,28.5112,27.3645,54.5817,0,62.0198,0,88.6793,-12.1487,31.3602,105.973,6.96967,34.1885,34.5898,0,0,0,0,0,0,0,12.8737,27.1729,0,9.06513,33.2853,0,0,0,0,0,0,0,0,0,0
239.875,241.378,111.901,104.378,0,35.3983,73.9558,230.263,79.4144,121.117,102.203,68.8631,132.551,129.892,120.754,118.599,229.805,112.203,328.452,211.82,13.2352,133.439,186.906,-5.54081,346.024,291.286,117.856,77.8419,157.356,60.8448,44.2265,106.344,254.931,136.28,71.513,70.4568,277.441,149.064,164.624,193.693,54.2118,151.175,134.091,212.178,12.2445,34.1121,-15.909,163.545,123.054,102.806,12.3578,105.895,93.6565,75.2431,167.037,85.3248,163.808,42.5943,59.7354,146.315,23.8181,61.4282,154.515,71.9315,90.8637,178.752,32.2382,22.3986,-5.42131,96.1939,39.2175,66.7325,242.308,123.606,29.8339,30.1674,-29.6899,-30.3766,-21.7957,-3.68562,31.8989,0,0,33.0294,0,0,0,0,0,0,110.577,29.7712,46.1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719.626,0,0,104.378,97.9343,92.3041,348.965,83.1639,381.715,90.5832,291.101,138.83,122.265,262.515,304.845,237.301,288.266,245.262,137.386,241.932,426.561,144.873,404.616,396.656,593.32,222.79,302.533,163.996,340.752,267.049,234.931,182.715,254.9,332.518,257.066,97.6917,97.1032,157.787,160.008,83.89,147.045,138.739,10.0951,175.712,109.832,99.5551,288.457,205,38.2072,157.349,97.0478,168.398,153.797,133.902,58.4138,97.3549,135.53,36.6934,15.0739,168.372,86.4589,140.813,140.879,27.978,167.949,54.4042,17.2918,62.7739,20.2749,61.9918,120.91,-16.0275,55.2118,-6.25,137.561,-22.5171,50.9999,85.2796,31.0099,157.68,51.145,46.3507,79.5682,23.5327,33.6236,0,69.1796,35.179,-23.414,-0.240245,36.859,0,0,0,0,40.3074,0,124.997,0,0,0,0,0,46.4455,0,0,0,0,0
479.751,604.61,1200.94,653.216,936.683,955.632,1597.71,1311.39,1747.12,2504.85,2793.1,1776,2301.95,2733.79,3715.9,3947.6,4205.88,3011.82,3279.04,3628.02,3718.25,3064.06,2529.52,2103.26,2534.89,2903.68,2214.92,2222.83,1820.69,2499.55,1808.92,1543.94,2299.96,1263.14,1652.51,894.614,1507.85,1209.63,874.482,1421.72,850.744,969.12,1202.77,900.037,679.192,655.446,1000.92,1073.32,864.894,928.307,1054.48,675.492,622.871,915.894,586.008,494.126,342.243,320.23,218.715,246.87,397.239,270.818,362.142,451.714,179.298,236.581,187.682,161.046,-30.3502,13.5996,177.073,132.449,84.6056,-29.781,128.062,13.94,3.2864,-6.8878,0,0,0,64.3717,-6.18265,-14.1754,33.6236,0,69.1796,35.179,71.5646,72.4228,36.859,0,0,0,0,0,0,41.6657,0,0,0,0,0,0,0,0,0,0,0
272.542,345.632,0,179.806,125.096,184.608,194.654,147.099,158.829,75.9047,291.101,211.636,52.2447,124.4,79.1462,35.6797,51.5125,131.926,80.6035,260.379,255.558,782.308,531.81,395.232,311.787,222.257,383.791,122.318,405.263,232.014,153.297,67.6429,25.4024,366.75,315.683,99.3071,240.238,117.39,230.453,237.659,84.6891,135.053,155.947,145.321,131.812,70.9631,117.8,-8.85986,149.13,250.473,97.5733,171.009,235.83,163.954,93.4756,158.154,146.225,115.716,38.7114,157.336,152.329,161.855,273.941,102.823,16.7461,0.669699,148.526,96.9327,175.436,31.5038,-12.7973,26.6428,25.5769,94.6517,25.5993,145.719,164.003,214.395,51.983,34.6724,48.0403,10.3086,190.05,18.854,0,68.377,0,30.0722,65.9596,36.2114,36.859,75.084,0,21.5061,17.5837,120.922,0,41.6657,0,0,0,0,90.7481,0,0,0,0,0,0
719.626,482.757,656.958,430.986,600.219,577.335,597.404,562.919,684.015,560.69,391.512,397.863,590.152,640.369,598.05,915.468,324.116,369.697,693.271,685.988,1087.47,492.435,682.715,763.407,600.581,630.092,577.008,446.422,223.762,310.733,194.76,337.12,111.543,69.5006,93.2814,131.784,339.312,76.7651,70.5002,38.8731,139.831,177.731,34.3526,51.3805,163.789,138.955,91.504,203.884,277.768,240.032,188.766,137.933,139.738,224.859,285.666,70.5315,299.193,109.958,13.5855,151.996,265.351,63.8677,170.876,78.0214,26.3925,27.6106,72.3036,197.537,113.68,129.365,93.3815,97.444,53.5757,84.7221,117.715,74.0922,26.6762,50.6069,152.084,-69.4779,28.1979,92.884,49.2715,49.8548,83.7428,170.942,68.7114,70.8343,0,0,73.718,0,0,155.02,0,0,40.8422,0,0,0,0,0,0,0,0,0,0,0,0
1232.04,224.943,0,0,97.9343,276.912,87.2413,249.492,79.4144,75.9047,245.961,191.218,123.915,193.714,249.671,299.578,114.323,296.359,366.094,313.966,253.346,98.2451,236.901,91.4251,88.5425,174.019,166.424,467.59,69.8776,190.236,231.118,68.1216,230.366,107.376,96.8434,162.653,184.079,138.197,222.199,244.736,112.675,179.215,-25.4271,37.8543,114.871,186.664,148.298,124.35,104.51,-2.29435,14.8672,162.965,143.853,176.311,143.324,20.1434,17.8498,158.215,109.366,179.956,95.541,161.874,29.1313,118.73,7.40225,104.307,202.719,206.204,169.355,-1.05705,64.2734,86.6472,23.8453,49.4095,41.8089,145.492,23.1517,10.0591,32.4982,56.9649,30.5778,-21.6947,81.9769,-8.7625,55.0726,0,0,35.179,0,0,110.577,0,76.5373,0,0,40.3074,40.8422,0,42.5409,0,0,0,0,0,0,0,0,0,0
239.875,365.558,556.267,208.756,293.803,276.912,174.483,251.577,712.738,455.428,391.512,110.863,392.798,434.386,205.919,182.005,270.236,323.901,186.879,100.569,298.173,295.082,278.971,272.784,439.026,94.7972,204.384,249.511,316.444,220.937,477.602,201.263,419.625,363.827,57.7875,383.241,306.882,157.758,320.475,242.325,179.773,132.492,304.503,129.056,143.881,202.493,4.34,178.408,155.976,210.26,187.253,94.695,282.776,258.649,195.235,272.414,212.462,291.594,108.88,87.4965,211.363,181.08,326.942,129.286,91.6839,147.528,86.409,239.714,35.091,144.603,88.7254,-4.82089,-16.0262,-50.6955,3.2478,-7.92174,121.679,30.7225,62.0198,18.9526,-3.30675,0,-6.18265,-14.1754,0,0,138.359,-20.1429,-2.80252,0,0,0,0,77.5101,0,0,0,41.6657,0,0,0,0,45.3741,0,0,0,0,0,0
1471.92,2519.2,2081.69,2487.59,2570.57,1852.89,1872.57,1396.64,1635,1789.68,1878.24,1267.42,1241.21,1958.29,1645.56,1222.55,1151.21,1472.56,1527.63,1290.41,1718.36,1200.15,1183.11,1214.75,916.242,1029.86,671.762,729.871,721.743,951.165,265.286,498.146,431.626,233.391,358.892,283.857,194.674,450.276,130.899,317.934,213.701,175.823,117.628,140.139,68.3632,51.7679,38.1693,48.677,65.7654,162.091,105.776,156.256,65.6617,37.2293,207.359,119.428,26.8149,107.083,202.756,239.224,47.5352,67.1924,20.2924,32.4736,223.877,47.8617,101.985,45.2783,67.6055,107.318,38.4113,20.6439,18.2894,24.6814,-0.786322,77.1518,50.7414,81.1792,61.5807,-20.645,63.2726,64.3717,31.3602,-9.94017,16.1122,13.0349,-7.41064,-10.601,19.8376,16.1359,0,112.626,-11.6586,21.9966,0,0,0,9.06513,33.2853,0,44.0845,89.462,0,0,0,0,0,0,54.3611
239.875,362.068,0,104.378,195.869,92.3041,87.2413,166.328,79.4144,75.9047,145.551,137.606,66.3146,194.074,313.084,483.317,232.272,153.555,123.029,158.437,165.128,280.198,53.5045,90.1006,42.2714,37.4098,165.144,120.533,76.1674,64.9629,192.453,17.8588,66.2074,140.387,92.2717,144.013,223.251,169.322,97.3528,292.776,57.1733,311.757,139.316,74.3632,201.528,149.608,128.83,44.6621,25.238,67.6151,73.4822,59.0233,109.322,152.409,110.031,90.3919,206.221,83.2212,89.5725,157.518,83.056,45.7286,91.7788,160.386,-41.3551,-27.2589,86.3195,36.6657,46.8726,50.2321,103.906,-1.55234,-14.4186,29.4989,59.6677,-7.65459,103.164,85.2796,0,31.536,31.8989,0,0,33.0294,0,34.1885,0,0,0,36.2114,36.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
