DistrTotCts,timestart
142.011,18.09.2019 22:35:13
89.4009,18.09.2019 22:38:12
683.037,18.09.2019 22:41:11
481.445,18.09.2019 22:44:10
135.209,18.09.2019 22:47:09
129.899,18.09.2019 22:50:08
132.004,18.09.2019 22:53:07
124.73,18.09.2019 22:56:06
150.761,18.09.2019 22:59:05
2247.12,18.09.2019 23:02:04
2765.16,18.09.2019 23:05:03
362.26,18.09.2019 23:08:02
125.67,18.09.2019 23:11:01
197.917,18.09.2019 23:14:00
408.325,18.09.2019 23:16:59
115.411,18.09.2019 23:19:58
1225.75,18.09.2019 23:22:57
449.872,18.09.2019 23:25:56
625.587,18.09.2019 23:28:55
137.617,18.09.2019 23:31:54
39.7923,18.09.2019 23:34:53
34.2879,18.09.2019 23:37:53
22.024,18.09.2019 23:40:52
136.638,18.09.2019 23:43:51
258.349,18.09.2019 23:46:50
458.761,18.09.2019 23:49:49
1249.54,18.09.2019 23:52:48
193.07,18.09.2019 23:55:47
408.118,18.09.2019 23:58:46
666.441,19.09.2019 00:01:45
775.756,19.09.2019 00:04:44
274.296,19.09.2019 00:07:46
298.095,19.09.2019 00:10:45
348.662,19.09.2019 00:13:44
402.882,19.09.2019 00:16:43
227.643,19.09.2019 00:19:42
126.78,19.09.2019 00:22:41
183.682,19.09.2019 00:25:40
147.302,19.09.2019 00:28:39
121.04,19.09.2019 00:31:38
129.861,19.09.2019 00:34:37
476.24,19.09.2019 00:37:36
93.5489,19.09.2019 00:40:35
80.3755,19.09.2019 00:43:34
49.1057,19.09.2019 00:46:33
50.9865,19.09.2019 00:49:32
59.1326,19.09.2019 00:52:31
116.582,19.09.2019 00:55:30
89.7013,19.09.2019 00:58:29
52.7262,19.09.2019 01:01:28
41.5067,19.09.2019 01:04:27
74.7377,19.09.2019 01:07:26
230.635,19.09.2019 01:10:25
143.195,19.09.2019 01:13:24
102.328,19.09.2019 01:16:23
89.3333,19.09.2019 01:19:22
68.0494,19.09.2019 01:22:21
51.3748,19.09.2019 01:25:20
51.9223,19.09.2019 01:28:19
34.5423,19.09.2019 01:31:18
26.4528,19.09.2019 01:34:17
25.9818,19.09.2019 01:37:16
29.264,19.09.2019 01:40:15
33.7096,19.09.2019 01:43:14
28.0181,19.09.2019 01:46:13
28.0933,19.09.2019 01:49:12
55.024,19.09.2019 01:52:11
59.0168,19.09.2019 01:55:10
151.159,19.09.2019 01:58:09
97.6873,19.09.2019 02:01:08
124.319,19.09.2019 02:04:07
